Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_Header_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Description|Change number|Primary Output|Division|Authorization Group|Validity From|Validity To|Created by|Created on|Changed by|Changed on|System Status|User Status|Formula|Flag
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000004136|120268.001|11|ALL|20090818|20100120|ALAVICTO|20080512|AWHALING|20090917|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000004863|120268.001|11|ALL|20100121|20100706|ALAVICTO|20080512|MILIC|20100121|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000005870|120268.001|11|ALL|20100707|20110403|ALAVICTO|20080512|MILIC|20100713|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000007286|120268.001|11|ALL|20100707|20110403|ALAVICTO|20080512|MILIC|20100713|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000007515|120268.001|11|ALL|20110404|20120219|ALAVICTO|20080512|MILIC|20110404|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000009133|120268.001|11|ALL|20120220|20121118|ALAVICTO|20080512|MILIC|20120220|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000010633|120268.001|11|ALL|20121119|20130218|ALAVICTO|20080512|MILIC|20121119|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000011078|120268.001|11|ALL|20130219|20151203|ALAVICTO|20080512|JGRAHAM|20130219|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000016063|120268.001|11|ALL|20151204|20160210|ALAVICTO|20080512|SHALCOMB|20151204|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000016359|120268.001|11|ALL|20160211|20161004|ALAVICTO|20080512|JGRAHAM|20160211|Released|Released|000000120298|
0000000000000000000000000000000000007820|CU GrnWks Ntrl DW Liq FreeClr 12/650ml CA|000000017509|120268.001|11|ALL|20161005|99991231|ALAVICTO|20080512|JGRAHAM|20161005|Released|Released|000000120298|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo||120268.001|11|ALL|00010101|20080709|KKLOTTER|20080512|KKLOTTER|20080512|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000002314|000000000000012374|11|ALL|20080710|20080806|KKLOTTER|20080512|DBAYDO|20080710|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000002429|000000000000012374|11|ALL|20080807|20080929|KKLOTTER|20080512|DBAYDO|20080807|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000002671|000000000000012374|11|ALL|20080930|20081222|KKLOTTER|20080512|DBAYDO|20081015|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000002990|000000000000012374|11|ALL|20081223|20090326|KKLOTTER|20080512|DBAYDO|20081224|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000003402|000000000000012374|11|ALL|20090327|20090707|KKLOTTER|20080512|DBAYDO|20090401|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000003954|000000000000012374|11|ALL|20090708|99991231|KKLOTTER|20080512|JSTRATTO|20090709|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000007148|000000000000012374|11|ALL|20090708|99991231|KKLOTTER|20080512|JSTRATTO|20090709|Released|Released|000000120301|
0000000000000000000000000000000000007821|AltRcp 409 APC Spry Reg Bns 12/32fo|000000011076|000000000000012374|11|ALL|20090708|99991231|KKLOTTER|20080512|JSTRATTO|20090709|Obsolete|Released Submitted - Obsolete|000000120301|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo||000000000000012374|11|ALL|00010101|20080709|KKLOTTER|20080512|KKLOTTER|20080512|Released|Released|000000120306|
0000000000000000000000000000000000007823|AltRcp 409 APC Spry Lmn Bns 12/32fo|000000002314|000000000000012372|11|ALL|20080710|20080806|KKLOTTER|20080512|DBAYDO|20080710|Released|Released|000000120306|
